trial_n,block_n,tar_choice,P,win,prob_1,prob_2,session,PID
11,4,1,0.75,1,0.25,0.75,4,AA13
12,4,1,0.75,0,0.75,0.25,4,AA13
13,4,1,0.75,1,0.75,0.25,4,AA13
14,4,1,0.75,0,0.25,0.75,4,AA13
15,4,1,0.75,0,0.75,0.25,4,AA13
16,4,1,0.75,1,0.25,0.75,4,AA13
17,4,1,0.75,1,0.25,0.75,4,AA13
18,4,1,0.75,1,0.25,0.75,4,AA13
19,4,1,0.75,1,0.75,0.25,4,AA13
20,4,1,0.75,1,0.75,0.25,4,AA13
1,5,1,0.75,1,0.75,0.25,4,AA13
2,5,1,0.75,0,0.75,0.25,4,AA13
3,5,1,0.75,0,0.25,0.75,4,AA13
4,5,2,0.25,1,0.25,0.75,4,AA13
5,5,2,0.25,1,0.75,0.25,4,AA13
6,5,2,0.25,0,0.75,0.25,4,AA13
7,5,2,0.25,0,0.75,0.25,4,AA13
8,5,1,0.75,1,0.25,0.75,4,AA13
9,5,2,0.25,0,0.75,0.25,4,AA13
10,5,2,0.25,0,0.25,0.75,4,AA13
11,5,1,0.75,1,0.75,0.25,4,AA13
12,5,2,0.25,1,0.25,0.75,4,AA13
13,5,1,0.75,1,0.75,0.25,4,AA13
14,5,1,0.75,0,0.75,0.25,4,AA13
15,5,1,0.75,1,0.25,0.75,4,AA13
16,5,2,0.25,0,0.25,0.75,4,AA13
17,5,2,0.25,0,0.25,0.75,4,AA13
18,5,1,0.75,1,0.25,0.75,4,AA13
19,5,1,0.75,1,0.25,0.75,4,AA13
20,5,1,0.75,1,0.75,0.25,4,AA13
1,6,1,0.75,0,0.75,0.25,4,AA13
2,6,1,0.75,1,0.25,0.75,4,AA13
3,6,2,0.25,0,0.25,0.75,4,AA13
4,6,1,0.75,1,0.75,0.25,4,AA13
5,6,2,0.25,1,0.75,0.25,4,AA13
6,6,1,0.75,1,0.75,0.25,4,AA13
7,6,1,0.75,1,0.75,0.25,4,AA13
8,6,1,0.75,1,0.75,0.25,4,AA13
9,6,1,0.75,1,0.75,0.25,4,AA13
10,6,1,0.75,1,0.25,0.75,4,AA13
11,6,1,0.75,1,0.25,0.75,4,AA13
12,6,1,0.75,0,0.75,0.25,4,AA13
13,6,1,0.75,1,0.75,0.25,4,AA13
14,6,1,0.75,1,0.75,0.25,4,AA13
15,6,1,0.75,1,0.75,0.25,4,AA13
16,6,2,0.25,0,0.25,0.75,4,AA13
17,6,1,0.75,1,0.25,0.75,4,AA13
18,6,1,0.75,0,0.75,0.25,4,AA13
19,6,1,0.75,1,0.75,0.25,4,AA13
20,6,2,0.25,1,0.25,0.75,4,AA13
